Czas w sekundach;Wartość funkcji celu
0;22355
1;7998
2;7610
3;7610
4;7610
5;7610
6;7610
7;7610
8;7610
9;7610
10;7607
11;7607
12;7607
13;7607
14;7607
15;7607
16;7607
17;7607
18;7607
19;7607
20;7607
21;7607
22;7509
23;7509
24;7509
25;7509
26;7509
27;7509
28;7509
29;7509
30;7503
31;7503
32;7503
33;7503
34;7503
35;7503
36;7503
37;7503
38;7503
39;7503
40;7503
41;7503
42;7503
43;7503
44;7503
45;7503
46;7503
47;7503
48;7503
49;7503
50;7503
51;7503
52;7503
53;7503
54;7503
55;7503
56;7503
57;7503
58;7503
59;7503
60;7503
