Czas w sekundach;Wartość funkcji celu
0;21685
1;12478
2;11164
3;11164
4;11164
5;11159
6;11159
7;11159
8;11159
9;11159
10;11159
11;11159
12;11159
13;11159
14;11159
15;11159
16;11159
17;11159
18;11015
19;11015
20;11015
21;11015
22;11015
23;11015
24;11015
25;11015
26;11015
27;11015
28;11015
29;11015
30;11015
31;11015
32;11015
33;11015
34;11015
35;11015
36;11015
37;11015
38;11015
39;11015
40;11015
41;11015
42;11015
43;11015
44;11015
45;11015
46;11015
47;11015
48;11015
49;11015
50;11015
51;11015
52;11015
53;11015
54;11015
55;11012
56;11012
57;11012
58;11012
59;11012
60;11012
