Czas w sekundach;Wartość funkcji celu
0;14759
1;14759
2;14759
3;14759
4;14759
5;14759
6;14759
7;14759
8;14759
9;14759
10;14759
11;14759
12;14759
13;14759
14;14759
15;14759
16;14759
17;14759
18;14759
19;14759
20;14759
21;14759
22;14759
23;14759
24;14759
25;14759
26;14759
27;14759
28;14759
29;14759
30;14759
31;14759
32;14759
33;14759
34;14759
35;14759
36;14759
37;14759
38;14759
39;14759
40;14759
41;14759
42;14759
43;14759
44;14759
45;14759
46;14759
47;14759
48;14759
49;14759
50;14759
51;14759
52;14759
53;14759
54;14759
55;14759
56;14759
57;14759
58;14759
59;14759
60;14759
