Czas w sekundach;Wartość funkcji celu
0;21311
1;17501
2;16568
3;14943
4;14393
5;14393
6;14393
7;14393
8;14393
9;14393
10;14393
11;14303
12;13228
13;13228
14;12699
15;12699
16;12699
17;12699
18;12699
19;12699
20;12699
21;12699
22;12699
23;12699
24;12699
25;12699
26;12699
27;12699
28;12699
29;12270
30;12171
31;12146
32;12146
33;12146
34;12146
35;12083
36;12083
37;12083
38;12083
39;10810
40;10810
41;10810
42;10810
43;10810
44;10810
45;10810
46;10810
47;10810
48;10810
49;10810
50;10810
51;10810
52;10810
53;10810
54;10810
55;10810
56;10810
57;10810
58;10810
59;10810
60;10810
