Czas w sekundach;Wartość funkcji celu
0;22208
1;15568
2;13679
3;13679
4;12881
5;12537
6;12537
7;12270
8;12270
9;12270
10;12270
11;12270
12;12270
13;12270
14;12270
15;12270
16;12270
17;12270
18;12270
19;12270
20;12270
21;12270
22;12270
23;12270
24;12270
25;12270
26;12270
27;12270
28;12270
29;12270
30;12270
31;12270
32;12270
33;12270
34;12270
35;12270
36;12270
37;12270
38;12270
39;12270
40;12270
41;12270
42;12270
43;12270
44;12270
45;12270
46;12270
47;12270
48;12270
49;12270
50;12270
51;12270
52;12270
53;12270
54;12270
55;12270
56;12270
57;12270
58;12270
59;12270
60;12270
