Czas w sekundach;Wartość funkcji celu
0;22645
1;16859
2;16859
3;16859
4;16859
5;16859
6;16859
7;16859
8;16859
9;16859
10;16859
11;16859
12;16011
13;16011
14;16011
15;16011
16;16011
17;15762
18;15762
19;15762
20;15762
21;15762
22;15762
23;15762
24;15762
25;15762
26;15762
27;15762
28;15762
29;15762
30;15762
31;15762
32;15762
33;15762
34;15762
35;15762
36;15762
37;15762
38;15762
39;15762
40;15762
41;15762
42;15762
43;15762
44;15762
45;15762
46;15762
47;15762
48;15762
49;15762
50;15762
51;15762
52;15762
53;15762
54;15762
55;15762
56;15762
57;15762
58;15762
59;15762
60;15762
