Czas w sekundach;Wartość funkcji celu
0;22821
1;16981
2;16981
3;16981
4;16981
5;16981
6;16022
7;16022
8;16022
9;16022
10;16022
11;16022
12;16022
13;16022
14;16022
15;16022
16;16022
17;16022
18;16022
19;16022
20;16022
21;16022
22;16022
23;16022
24;16022
25;16022
26;16022
27;16022
28;16022
29;16022
30;16022
31;16022
32;16022
33;16022
34;16022
35;16022
36;16022
37;16022
38;16022
39;16022
40;16022
41;16022
42;16022
43;16022
44;16022
45;16022
46;16022
47;16022
48;16022
49;16022
50;16022
51;16022
52;16022
53;16022
54;16022
55;16022
56;16022
57;16022
58;16022
59;16022
60;16022
