Czas w sekundach;Wartość funkcji celu
0;14070
1;14070
2;14070
3;14070
4;14070
5;14070
6;14070
7;14070
8;14070
9;14070
10;14070
11;14070
12;14070
13;14070
14;14070
15;14070
16;14070
17;14070
18;14070
19;14070
20;14070
21;14070
22;14070
23;14070
24;14070
25;14070
26;14070
27;14070
28;14070
29;14070
30;14070
31;14070
32;14070
33;14070
34;14070
35;14070
36;14070
37;14070
38;14070
39;14070
40;14070
41;14070
42;14070
43;14070
44;14070
45;14070
46;14070
47;14070
48;14070
49;14070
50;14070
51;14070
52;14070
53;14070
54;14070
55;14070
56;14070
57;14070
58;14070
59;14070
60;14070
