Czas w sekundach;Wartość funkcji celu
0;65276
1;62705
2;62201
3;61448
4;61448
5;60902
6;60152
7;60152
8;60152
9;60152
10;60152
11;60152
12;60152
13;60152
14;60152
15;60152
16;60152
17;60152
18;60152
19;60152
20;60152
21;60152
22;60152
23;60152
24;60152
25;60152
26;60152
27;59887
28;59887
29;59887
30;59887
31;59887
32;59887
33;59887
34;59887
35;59887
36;59887
37;59887
38;59887
39;59887
40;59887
41;59887
42;59887
43;59887
44;59887
45;59887
46;59887
47;59887
48;59887
49;59887
50;59887
51;59887
52;59887
53;59887
54;59887
55;59887
56;59887
57;59887
58;59887
59;59887
60;58870
