Czas w sekundach;Wartość funkcji celu
0;67392
1;49046
2;49046
3;49046
4;49046
5;49046
6;49046
7;49046
8;49046
9;49046
10;49046
11;49046
12;49046
13;49046
14;49046
15;49046
16;49046
17;49046
18;49046
19;49046
20;49046
21;49046
22;49046
23;49046
24;49046
25;49046
26;49046
27;49046
28;49046
29;49046
30;49046
31;49046
32;49046
33;49046
34;49046
35;49046
36;49046
37;49046
38;49046
39;49046
40;49046
41;49046
42;49046
43;49046
44;49046
45;49046
46;49046
47;49046
48;49046
49;49046
50;49046
51;49046
52;49046
53;49046
54;49046
55;49046
56;49046
57;49046
58;49046
59;49046
60;49046
