Czas w sekundach;Wartość funkcji celu
0;52124
1;52124
2;52124
3;52124
4;52124
5;52124
6;52124
7;52124
8;52124
9;52124
10;52124
11;52124
12;52124
13;52124
14;52124
15;52124
16;52124
17;52124
18;52124
19;52124
20;52124
21;52124
22;52124
23;52124
24;52124
25;52124
26;52124
27;52124
28;52124
29;52124
30;52124
31;52124
32;52124
33;52124
34;52124
35;52124
36;52124
37;52124
38;52124
39;52124
40;52124
41;52124
42;52124
43;52124
44;52124
45;52124
46;52124
47;52124
48;52124
49;52124
50;52124
51;52124
52;52124
53;52124
54;52124
55;52124
56;52124
57;52124
58;52124
59;52124
60;52124
