Czas w sekundach;Wartość funkcji celu
0;66343
1;64504
2;64504
3;64504
4;64504
5;64504
6;64504
7;64504
8;64504
9;64504
10;64504
11;64504
12;64504
13;64504
14;64504
15;64504
16;64504
17;64504
18;64504
19;64504
20;64504
21;64504
22;64504
23;64504
24;64504
25;64504
26;64504
27;64504
28;64504
29;64504
30;64504
31;64504
32;64504
33;64504
34;64504
35;64504
36;64504
37;64504
38;64504
39;64504
40;64504
41;64504
42;64504
43;64504
44;64504
45;64504
46;64504
47;64504
48;64504
49;64504
50;64504
51;64504
52;64504
53;64504
54;64504
55;64504
56;64504
57;64504
58;64504
59;64504
60;64504
60;64504
