Czas w sekundach;Wartość funkcji celu
0;66675
1;60606
2;59962
3;59962
4;59801
5;59801
6;59084
7;58099
8;58099
9;58099
10;57311
11;57311
12;57311
13;57311
14;57311
15;57311
16;57311
17;57311
18;57311
19;57311
20;57311
21;57311
22;57311
23;57311
24;57311
25;57311
26;57311
27;57311
28;57311
29;57311
30;57311
31;57311
32;57311
33;57311
34;57311
35;57311
36;57311
37;57311
38;57311
39;57311
40;57311
41;57311
42;57311
43;57311
44;57039
45;57039
46;57039
47;57039
48;57039
49;57039
50;57039
51;57039
52;57039
53;57039
54;57039
55;57039
56;57039
57;57039
58;57039
59;57039
60;57039
