Czas w sekundach;Wartość funkcji celu
0;67115
1;61555
2;61172
3;60688
4;60176
5;60176
6;60176
7;60176
8;60176
9;60176
10;60176
11;59021
12;59021
13;59021
14;59021
15;59021
16;59021
17;59021
18;59021
19;59021
20;59021
21;59021
22;59021
23;58464
24;58464
25;58464
26;58464
27;58464
28;58464
29;58464
30;58464
31;58464
32;58464
33;58464
34;58464
35;58464
36;58464
37;58464
38;58464
39;58464
40;58464
41;58464
42;58464
43;58464
44;58464
45;58464
46;58464
47;58464
48;58464
49;58464
50;58464
51;58464
52;58464
53;58464
54;58464
55;58464
56;58464
57;58464
58;58464
59;58464
60;58464
