Czas w sekundach;Wartość funkcji celu
0;23616
1;3702
2;3702
3;3536
4;3536
5;3536
6;3536
7;3505
8;3505
9;3505
10;3490
11;3490
12;3490
13;3490
14;3490
15;3490
16;3490
17;3490
18;3490
19;3490
20;3490
21;3490
22;3490
23;3490
24;3490
25;3490
26;3490
27;3490
28;3490
29;3490
30;3490
31;3490
32;3490
33;3435
34;3435
35;3435
36;3435
37;3435
38;3435
39;3435
40;3435
41;3435
42;3435
43;3435
44;3435
45;3435
46;3435
47;3435
48;3435
49;3435
50;3435
51;3435
52;3435
53;3435
54;3435
55;3435
56;3435
57;3435
58;3435
59;3435
60;3435
