Czas w sekundach;Wartość funkcji celu
0;23446
1;18210
2;14779
3;12458
4;11131
5;10543
6;10163
7;10163
8;10163
9;10163
10;10163
11;10163
12;10163
13;10163
14;10163
15;10163
16;10163
17;10163
18;10163
19;10163
20;10163
21;10163
22;10163
23;10163
24;10163
25;10163
26;10163
27;10163
28;10163
29;10163
30;10163
31;10163
32;10163
33;10163
34;10163
35;10163
36;10163
37;10163
38;10163
39;10163
40;10163
41;10163
42;10163
43;10163
44;10163
45;10163
46;10163
47;10163
48;10163
49;10163
50;10163
51;10163
52;10163
53;10163
54;10163
55;10163
56;10163
57;10163
58;10163
59;10163
60;10163
