Czas w sekundach;Wartość funkcji celu
0;14654
1;14654
2;14654
3;14654
4;14654
5;14654
6;14654
7;14654
8;14654
9;14654
10;14654
11;14654
12;14654
13;14654
14;14654
15;14654
16;14654
17;14654
18;14654
19;14654
20;14654
21;14654
22;14654
23;14654
24;14654
25;14654
26;14654
27;14654
28;14654
29;14654
30;14654
31;14654
32;14654
33;14654
34;14654
35;14654
36;14654
37;14654
38;14654
39;14654
40;14654
41;14654
42;14654
43;14654
44;14654
45;14654
46;14654
47;14654
48;14654
49;14654
50;14654
51;14654
52;14654
53;14654
54;14654
55;14654
56;14654
57;14654
58;14654
59;14654
60;14654
