Czas w sekundach;Wartość funkcji celu
0;23809
1;22327
2;22327
3;22327
4;22324
5;22324
6;22029
7;22029
8;22029
9;22029
10;22029
11;22029
12;22029
13;22029
14;22029
15;21639
16;21523
17;21515
18;21515
19;21515
20;21359
21;21262
22;21262
23;21020
24;21020
25;21020
26;21020
27;21020
28;21020
29;21020
30;21020
31;20987
32;20987
33;20712
34;20636
35;20636
36;19448
37;19448
38;19448
39;19448
40;19448
41;19448
42;19448
43;19448
44;19448
45;19376
46;19376
47;19376
48;19376
49;19376
50;19376
51;19376
52;19376
53;19376
54;19376
55;19376
56;19376
57;19376
58;19376
59;19012
60;19012
