Czas w sekundach;Wartość funkcji celu
0;23773
1;22096
2;21385
3;21109
4;20369
5;19941
6;19937
7;19264
8;18742
9;18742
10;18742
11;18647
12;18028
13;17798
14;17280
15;16936
16;16788
17;16788
18;16727
19;16509
20;15962
21;15719
22;15220
23;15056
24;14772
25;14422
26;14095
27;13857
28;13737
29;13553
30;13553
31;13553
32;13553
33;13553
34;13362
35;13362
36;13120
37;12786
38;12786
39;12786
40;12786
41;12786
42;12786
43;12786
44;12786
45;12786
46;12786
47;12786
48;12786
49;12786
50;12786
51;12786
52;12786
53;12580
54;12513
55;12513
56;12513
57;12513
58;12513
59;12513
60;12513
