Czas w sekundach;Wartość funkcji celu
0;23961
1;22699
2;22699
3;22699
4;22699
5;22699
6;22699
7;22699
8;22699
9;22699
10;22699
11;22699
12;22699
13;22699
14;22699
15;22699
16;22699
17;22699
18;22699
19;22699
20;22699
21;22699
22;22699
23;22699
24;22699
25;22699
26;22699
27;22699
28;22699
29;22699
30;22699
31;22699
32;22699
33;22699
34;22699
35;22699
36;22699
37;22699
38;22699
39;22699
40;22699
41;22699
42;22699
43;22699
44;22699
45;22699
46;22699
47;22699
48;22699
49;22699
50;22699
51;22699
52;22699
53;22699
54;22699
55;22699
56;22699
57;22699
58;22699
59;22699
60;22699
60;22699
