Czas w sekundach;Wartość funkcji celu
0;3638
1;1497
2;1410
3;1410
4;1410
5;1410
6;1410
7;1410
8;1410
9;1410
10;1410
11;1410
12;1410
13;1410
14;1410
15;1410
16;1410
17;1410
18;1410
19;1410
20;1410
21;1410
22;1410
23;1410
24;1396
25;1396
26;1396
27;1396
28;1396
29;1396
30;1396
31;1396
32;1396
33;1396
34;1396
35;1396
36;1396
37;1396
38;1396
39;1396
40;1396
41;1396
42;1396
43;1396
44;1396
45;1396
46;1396
47;1396
48;1396
49;1396
50;1396
51;1396
52;1396
53;1396
54;1396
55;1396
56;1396
57;1396
58;1396
59;1396
60;1396
60;1396
