Czas w sekundach;Wartość funkcji celu
0;3403
1;2416
2;2416
3;2416
4;2416
5;2416
6;2389
7;2389
8;2389
9;2389
10;2389
11;2389
12;2389
13;2389
14;2389
15;2389
16;2389
17;2389
18;2389
19;2389
20;2389
21;2389
22;2389
23;2389
24;2389
25;2389
26;2389
27;2389
28;2389
29;2389
30;2389
31;2389
32;2389
33;2389
34;2389
35;2389
36;2389
37;2389
38;2389
39;2389
40;2389
41;2389
42;2389
43;2389
44;2389
45;2389
46;2389
47;2389
48;2389
49;2389
50;2389
51;2389
52;2389
53;2389
54;2389
55;2389
56;2389
57;2389
58;2389
59;2389
60;2389
60;2389
