Czas w sekundach;Wartość funkcji celu
0;3358
1;2535
2;2419
3;2419
4;2419
5;2419
6;2419
7;2419
8;2419
9;2419
10;2419
11;2419
12;2419
13;2419
14;2419
15;2419
16;2419
17;2401
18;2401
19;2401
20;2401
21;2401
22;2401
23;2401
24;2401
25;2401
26;2401
27;2401
28;2401
29;2401
30;2401
31;2401
32;2401
33;2401
34;2401
35;2401
36;2401
37;2401
38;2401
39;2401
40;2401
41;2401
42;2401
43;2401
44;2401
45;2401
46;2400
47;2400
48;2400
49;2400
50;2400
51;2400
52;2400
53;2400
54;2400
55;2400
56;2400
57;2400
58;2400
59;2209
60;2209
