Czas w sekundach;Wartość funkcji celu
0;3540
1;2620
2;2582
3;2582
4;2546
5;2546
6;2393
7;2393
8;2393
9;2393
10;2393
11;2393
12;2393
13;2393
14;2393
15;2393
16;2393
17;2393
18;2393
19;2393
20;2393
21;2393
22;2393
23;2393
24;2393
25;2393
26;2393
27;2393
28;2393
29;2393
30;2393
31;2393
32;2393
33;2393
34;2393
35;2393
36;2393
37;2393
38;2393
39;2393
40;2393
41;2393
42;2393
43;2393
44;2393
45;2393
46;2393
47;2393
48;2393
49;2393
50;2393
51;2393
52;2393
53;2393
54;2393
55;2393
56;2393
57;2393
58;2393
59;2393
60;2393
