Czas w sekundach;Wartość funkcji celu
0;7414
1;6413
2;6413
3;6413
4;6413
5;6413
6;6233
7;6233
8;6233
9;6233
10;6233
11;6233
12;6233
13;6150
14;6150
15;6150
16;5595
17;5595
18;5595
19;5595
20;5595
21;5595
22;5595
23;5595
24;5595
25;5595
26;5595
27;5595
28;5595
29;5595
30;5595
31;5595
32;5595
33;5595
34;5595
35;5595
36;5595
37;5595
38;5595
39;5595
40;5595
41;5595
42;5595
43;5595
44;5595
45;5595
46;5595
47;5595
48;5595
49;5595
50;5595
51;5595
52;5595
53;5595
54;5595
55;5595
56;5595
57;5595
58;5595
59;5595
60;5595
