Czas w sekundach;Wartość funkcji celu
0;4948
1;4801
2;4801
3;4801
4;4801
5;4801
6;4801
7;4801
8;4801
9;4801
10;4801
11;4801
12;4801
13;4801
14;4801
15;4801
16;4801
17;4801
18;4801
19;4801
20;4801
21;4801
22;4801
23;4801
24;4801
25;4801
26;4801
27;4801
28;4801
29;4801
30;4801
31;4801
32;4801
33;4801
34;4801
35;4801
36;4801
37;4801
38;4801
39;4801
40;4801
41;4801
42;4801
43;4801
44;4801
45;4801
46;4801
47;4801
48;4801
49;4801
50;4801
51;4801
52;4801
53;4801
54;4801
55;4801
56;4801
57;4801
58;4801
59;4801
60;4801
