Czas w sekundach;Wartość funkcji celu
0;7566
1;5702
2;5702
3;5702
4;5702
5;5251
6;4401
7;3781
8;3781
9;3781
10;3781
11;3781
12;3781
13;3781
14;3781
15;3781
16;3781
17;3781
18;3781
19;3781
20;3781
21;3781
22;3781
23;3781
24;3781
25;3781
26;3781
27;3781
28;3781
29;3781
30;3781
31;3781
32;3781
33;3781
34;3781
35;3781
36;3781
37;3781
38;3781
39;3781
40;3781
41;3781
42;3781
43;3781
44;3781
45;3781
46;3781
47;3781
48;3781
49;3781
50;3781
51;3781
52;3781
53;3781
54;3781
55;3781
56;3781
57;3781
58;3781
59;3781
60;3781
