Czas w sekundach;Wartość funkcji celu
0;4740
1;4740
2;4740
3;4740
4;4740
5;4740
6;4740
7;4740
8;4740
9;4740
10;4740
11;4740
12;4740
13;4740
14;4740
15;4740
16;4740
17;4740
18;4740
19;4740
20;4740
21;4740
22;4740
23;4740
24;4740
25;4740
26;4740
27;4740
28;4740
29;4740
30;4740
31;4740
32;4740
33;4740
34;4740
35;4740
36;4740
37;4740
38;4740
39;4740
40;4740
41;4740
42;4740
43;4740
44;4740
45;4740
46;4740
47;4740
48;4740
49;4740
50;4740
51;4740
52;4740
53;4740
54;4740
55;4740
56;4740
57;4740
58;4740
59;4740
60;4740
