Czas w sekundach;Wartość funkcji celu
0;166937
1;42704
2;42704
3;42704
4;42704
5;41448
6;41448
7;41448
8;41448
9;41448
10;41448
11;41448
12;41448
13;41448
14;41448
15;41448
16;41448
17;41448
18;41448
19;41448
20;41448
21;41448
22;41448
23;41448
24;41448
25;41448
26;41448
27;41448
28;41448
29;41448
30;41448
31;41448
32;41448
33;41448
34;41448
35;41448
36;41448
37;41448
38;41448
39;41448
40;41448
41;41448
42;41448
43;41448
44;41448
45;41448
46;41448
47;41448
48;41448
49;41448
50;41448
51;41448
52;41448
53;41448
54;41448
55;41448
56;41448
57;41448
58;41448
59;41448
60;41448
