Czas w sekundach;Wartość funkcji celu
0;167414
1;122688
2;99288
3;85019
4;73775
5;66758
6;62610
7;61833
8;60343
9;56276
10;55247
11;52017
12;50574
13;49310
14;48704
15;48508
16;48156
17;48156
18;48156
19;48156
20;48156
21;47367
22;47009
23;46859
24;46733
25;46733
26;46733
27;46733
28;46733
29;46733
30;46733
31;46733
32;46733
33;46733
34;46733
35;46733
36;46733
37;46733
38;46733
39;46733
40;46733
41;46733
42;46733
43;46733
44;46733
45;46733
46;46733
47;46733
48;46733
49;46733
50;46733
51;46733
52;46733
53;46733
54;46733
55;46733
56;46733
57;46733
58;46733
59;46733
60;46733
