Czas w sekundach;Wartość funkcji celu
0;170495
1;146513
2;144122
3;144122
4;144122
5;144122
6;144122
7;144122
8;144122
9;135225
10;135225
11;135225
12;135225
13;135225
14;135225
15;135225
16;135225
17;135225
18;135225
19;135225
20;135225
21;135225
22;135225
23;135225
24;135225
25;135225
26;135225
27;135225
28;135225
29;135225
30;135225
31;135225
32;135225
33;135225
34;135225
35;135225
36;135225
37;135225
38;135225
39;135225
40;135225
41;135225
42;135225
43;135225
44;135225
45;135225
46;135225
47;135225
48;135225
49;135225
50;135225
51;135225
52;135225
53;135225
54;135225
55;135225
56;135225
57;135225
58;135225
59;135225
60;135225
