Czas w sekundach;Wartość funkcji celu
0;167721
1;66544
2;56055
3;56055
4;56055
5;56055
6;56055
7;56055
8;56055
9;56055
10;56055
11;56055
12;56055
13;56055
14;56055
15;56055
16;56055
17;56055
18;56055
19;56055
20;56055
21;56055
22;56055
23;56055
24;56055
25;56055
26;56055
27;56055
28;56055
29;56055
30;56055
31;56055
32;56055
33;56055
34;56055
35;56055
36;56055
37;56055
38;56055
39;56055
40;56055
41;56055
42;56055
43;56055
44;56055
45;56055
46;56055
47;56055
48;56055
49;56055
50;56055
51;56055
52;56055
53;56055
54;56055
55;56055
56;56055
57;56055
58;56055
59;56055
60;56055
