Czas w sekundach;Wartość funkcji celu
0;94164
1;92075
2;92075
3;92075
4;92075
5;92075
6;92075
7;92075
8;92075
9;92075
10;92075
11;92075
12;92075
13;92075
14;92075
15;92075
16;92075
17;92075
18;92075
19;92075
20;92075
21;92075
22;92075
23;92075
24;92075
25;92075
26;92075
27;92075
28;92075
29;92075
30;92075
31;92075
32;92075
33;92075
34;92075
35;92075
36;92075
37;92075
38;92075
39;92075
40;92075
41;92075
42;92075
43;92075
44;92075
45;92075
46;92075
47;92075
48;92075
49;92075
50;92075
51;92075
52;92075
53;92075
54;92075
55;92075
56;92075
57;92075
58;92075
59;92075
60;92075
