Czas w sekundach;Wartość funkcji celu
0;95750
1;93833
2;93833
3;93833
4;93833
5;93833
6;93833
7;93833
8;93833
9;93833
10;93833
11;93833
12;93833
13;93833
14;93833
15;93833
16;93833
17;93833
18;93833
19;93833
20;93833
21;93833
22;93833
23;93833
24;93833
25;93833
26;93833
27;93833
28;93833
29;93833
30;93833
31;93833
32;93833
33;93833
34;93833
35;93833
36;93833
37;93833
38;93833
39;93833
40;93833
41;93833
42;93833
43;93833
44;93833
45;93833
46;93833
47;93833
48;93833
49;93833
50;93833
51;93833
52;93833
53;93833
54;93833
55;93833
56;93833
57;93833
58;93833
59;93833
60;93833
