Czas w sekundach;Wartość funkcji celu
0;167571
1;148871
2;147341
3;144693
4;143902
5;143902
6;135649
7;135649
8;135402
9;133541
10;127009
11;127009
12;126479
13;125109
14;124455
15;121806
16;119996
17;112993
18;112993
19;112993
20;112993
21;108821
22;104952
23;104952
24;104847
25;104847
26;104847
27;100478
28;100478
29;100456
30;100456
31;100456
32;96137
33;96137
34;96137
35;96137
36;96137
37;96137
38;96137
39;96137
40;96137
41;96137
42;96137
43;96137
44;95325
45;94799
46;93319
47;93319
48;93319
49;93319
50;93319
51;92865
52;90164
53;89301
54;86623
55;81744
56;81744
57;81744
58;81744
59;81744
60;81744
