Czas w sekundach;Wartość funkcji celu
0;166667
1;123716
2;123716
3;121628
4;121628
5;112805
6;110388
7;103641
8;103641
9;103641
10;103641
11;103641
12;103452
13;103025
14;100330
15;100330
16;96606
17;96606
18;96606
19;96606
20;96606
21;96606
22;96606
23;96601
24;96601
25;96601
26;96601
27;96601
28;96601
29;96601
30;96601
31;96601
32;96601
33;95212
34;95212
35;95212
36;95212
37;95212
38;95212
39;95212
40;95212
41;95212
42;95212
43;93228
44;93228
45;93228
46;93228
47;89577
48;89413
49;89413
50;89413
51;89413
52;89413
53;89413
54;89413
55;89413
56;89413
57;89413
58;89413
59;89413
60;89413
