Czas w sekundach;Wartość funkcji celu
0;167213
1;146064
2;146064
3;144017
4;136595
5;136595
6;136595
7;136595
8;136595
9;136595
10;136595
11;136595
12;136595
13;136595
14;136595
15;136595
16;136595
17;136595
18;136595
19;136595
20;136595
21;136595
22;136595
23;136595
24;136595
25;136595
26;136595
27;136595
28;136595
29;136595
30;136595
31;136595
32;136595
33;136595
34;136595
35;136595
36;136595
37;136595
38;136595
39;136595
40;136595
41;136595
42;136595
43;136595
44;136595
45;136595
46;136595
47;136595
48;136595
49;136595
50;136595
51;136595
52;136595
53;136595
54;136595
55;136595
56;136595
57;136595
58;136595
59;136595
60;136595
