Czas w sekundach;Wartość funkcji celu
0;167201
1;145558
2;145558
3;143123
4;143123
5;143123
6;141419
7;141419
8;140827
9;140827
10;140827
11;136354
12;136354
13;136354
14;136354
15;136354
16;136354
17;136354
18;136354
19;136354
20;136354
21;136354
22;136354
23;136354
24;136354
25;136354
26;136354
27;136354
28;136354
29;136354
30;136354
31;136354
32;136354
33;136354
34;136354
35;136354
36;136354
37;136354
38;136354
39;136354
40;136354
41;136354
42;136354
43;136354
44;136354
45;136354
46;136354
47;136354
48;136354
49;136354
50;136354
51;136354
52;136354
53;136354
54;136354
55;136354
56;136354
57;136354
58;136354
59;136354
60;136354
