Czas w sekundach;Wartość funkcji celu
0;164330
1;157507
2;157507
3;157507
4;157507
5;157507
6;157507
7;157507
8;157507
9;157507
10;157507
11;157507
12;157507
13;157507
14;157507
15;157507
16;157507
17;157507
18;157507
19;157507
20;157507
21;157507
22;157507
23;157507
24;157507
25;157507
26;157507
27;157507
28;157507
29;157507
30;157507
31;157507
32;157507
33;157507
34;157507
35;157507
36;157507
37;157507
38;157507
39;157507
40;157507
41;157507
42;157507
43;157507
44;157507
45;157507
46;157507
47;157507
48;157507
49;157507
50;157507
51;157507
52;157507
53;157507
54;157507
55;157507
56;157507
57;157507
58;157507
59;157507
60;157507
