Czas w sekundach;Wartość funkcji celu
0;169263
1;147362
2;145387
3;140122
4;140122
5;139017
6;139017
7;139017
8;139017
9;139017
10;136596
11;136596
12;136596
13;136596
14;136596
15;132730
16;127886
17;127886
18;127886
19;127886
20;127886
21;127886
22;127886
23;127886
24;127886
25;127886
26;127886
27;127886
28;127886
29;127886
30;127886
31;127886
32;127886
33;127886
34;127886
35;127886
36;127886
37;127886
38;127886
39;127886
40;127886
41;127886
42;127886
43;127886
44;127886
45;127886
46;127886
47;127886
48;127886
49;127886
50;127886
51;127886
52;127886
53;127886
54;127886
55;127886
56;127886
57;127886
58;127886
59;127886
60;127886
