Czas w sekundach;Wartość funkcji celu
0;162288
1;152702
2;145089
3;145089
4;142402
5;142402
6;142402
7;142402
8;132674
9;132674
10;132674
11;132674
12;132674
13;132674
14;132674
15;132674
16;132674
17;132674
18;132674
19;132674
20;132674
21;132674
22;132674
23;132674
24;132674
25;132674
26;132674
27;132674
28;132674
29;132674
30;132674
31;132674
32;132674
33;132674
34;132674
35;132674
36;132674
37;132674
38;132674
39;132674
40;132674
41;132674
42;132674
43;132674
44;132674
45;132674
46;132674
47;132674
48;132674
49;132674
50;132674
51;132674
52;132674
53;132674
54;132674
55;132674
56;132674
57;132674
58;132674
59;132674
60;132674
