Czas w sekundach;Wartość funkcji celu
0;92041
1;92041
2;92041
3;92041
4;92041
5;92041
6;92041
7;92041
8;92041
9;92041
10;92041
11;92041
12;92041
13;92041
14;92041
15;92041
16;92041
17;92041
18;92041
19;92041
20;92041
21;92041
22;92041
23;92041
24;92041
25;92041
26;92041
27;92041
28;92041
29;92041
30;92041
31;92041
32;92041
33;92041
34;92041
35;92041
36;92041
37;92041
38;92041
39;92041
40;92041
41;92041
42;92041
43;92041
44;92041
45;92041
46;92041
47;92041
48;92041
49;92041
50;92041
51;92041
52;92041
53;92041
54;92041
55;92041
56;92041
57;92041
58;92041
59;92041
60;92041
