Czas w sekundach;Wartość funkcji celu
0;5814
1;2300
2;2021
3;1878
4;1878
5;1842
6;1822
7;1822
8;1822
9;1822
10;1801
11;1801
12;1780
13;1780
14;1780
15;1780
16;1780
17;1780
18;1780
19;1780
20;1780
21;1780
22;1780
23;1780
24;1780
25;1780
26;1780
27;1780
28;1780
29;1780
30;1780
31;1780
32;1780
33;1765
34;1765
35;1765
36;1765
37;1765
38;1765
39;1765
40;1765
41;1765
42;1765
43;1765
44;1765
45;1765
46;1765
48;1765
49;1765
50;1765
51;1765
52;1765
53;1765
54;1765
55;1765
56;1765
57;1765
58;1765
59;1765
60;1765
