Czas w sekundach;Wartość funkcji celu
0;5860
1;5554
2;5464
3;5410
4;5313
5;5273
6;5273
7;5194
8;5156
9;5156
10;5085
11;5085
12;5021
13;5021
14;4993
15;4993
16;4993
17;4953
18;4895
19;4895
20;4843
21;4793
22;4793
23;4793
24;4793
25;4691
26;4691
27;4669
28;4606
29;4606
30;4606
31;4582
32;4582
33;4582
34;4562
35;4562
36;4520
37;4501
38;4501
39;4501
40;4501
41;4501
42;4501
43;4465
44;4465
45;4465
46;4446
47;4430
48;4430
49;4430
50;4430
51;4430
52;4430
53;4416
54;4416
56;4380
57;4324
58;4324
59;4298
60;4298
