Czas w sekundach;Wartość funkcji celu
0;5772
1;5544
2;5508
3;5488
4;5488
5;5488
6;5488
7;5488
8;5488
9;5488
10;5486
11;5486
12;5441
13;5441
14;5441
15;5441
16;5441
17;5441
18;5441
19;5441
20;5441
21;5441
22;5441
23;5441
24;5441
25;5441
26;5441
27;5441
28;5441
29;5441
30;5441
31;5441
32;5441
33;5441
34;5441
35;5441
36;5441
37;5441
38;5441
39;5441
40;5441
41;5441
42;5441
43;5441
44;5441
45;5441
46;5441
48;5430
49;5430
50;5430
51;5430
52;5430
53;5430
54;5430
55;5430
56;5430
57;5430
58;5430
59;5430
60;5430
