Czas w sekundach;Wartość funkcji celu
0;5800
1;5510
2;5231
3;5046
4;4794
5;4699
6;4535
7;4379
8;4304
9;4243
10;4184
11;4112
12;4015
13;3947
14;3908
15;3877
16;3850
17;3845
18;3838
19;3838
20;3838
21;3838
22;3838
23;3838
24;3838
25;3838
26;3838
27;3838
28;3838
29;3838
30;3838
31;3838
32;3838
33;3838
34;3838
35;3838
36;3838
37;3838
38;3838
39;3838
40;3838
41;3838
42;3838
43;3838
44;3838
45;3838
46;3838
47;3838
48;3838
49;3838
50;3838
51;3838
52;3838
54;3838
55;3838
56;3838
57;3838
58;3838
59;3838
60;3838
