Czas w sekundach;Wartość funkcji celu
0;4078
1;4078
2;4078
3;4078
4;4078
5;4078
6;4078
7;4078
8;4078
9;4078
10;4078
11;4078
12;4078
13;4078
14;4078
15;4078
16;4078
17;4078
18;4078
19;4078
20;4078
21;4078
22;4078
23;4078
24;4078
25;4078
26;4078
27;4078
28;4078
29;4078
30;4078
31;4078
32;4078
33;4078
34;4078
35;4078
36;4078
37;4078
38;4078
39;4078
40;4078
41;4078
42;4078
43;4078
44;4078
45;4078
46;4078
47;4078
48;4078
49;4078
50;4078
51;4078
52;4078
53;4078
54;4078
55;4078
56;4078
58;4078
59;4078
60;4078
60;4078
