Czas w sekundach;Wartość funkcji celu
0;3045
1;3045
2;3045
3;3045
4;3045
5;3045
6;3045
7;3045
8;3045
9;3045
10;3045
11;3045
12;3045
13;3045
14;3045
15;3045
16;3045
17;3045
18;3045
19;3045
20;3045
21;3045
22;3045
23;3045
24;3045
25;3045
26;3045
27;3045
28;3045
29;3045
30;3045
31;3045
32;3045
33;3045
34;3045
35;3045
36;3045
37;3045
38;3045
39;3045
40;3045
41;3045
42;3045
43;3045
44;3045
45;3045
46;3045
47;3045
48;3045
49;3045
50;3045
51;3045
52;3045
54;3045
55;3045
56;3045
57;3045
58;3045
59;3045
60;3045
