Czas w sekundach;Wartość funkcji celu
0;5796
1;5733
2;5733
3;5723
4;5720
5;5720
6;5720
7;5701
8;5701
9;5609
10;5609
11;5609
12;5609
13;5609
14;5609
15;5609
16;5609
17;5609
18;5609
19;5609
20;5609
21;5609
22;5609
23;5609
24;5609
25;5609
26;5609
27;5609
28;5609
29;5609
30;5609
31;5609
32;5609
33;5581
34;5581
35;5581
36;5581
37;5581
38;5581
39;5581
40;5581
41;5581
42;5581
43;5581
44;5581
45;5581
46;5581
47;5562
48;5562
49;5562
50;5562
51;5562
52;5562
53;5562
54;5562
55;5562
56;5556
58;5556
59;5556
60;5556
