Czas w sekundach;Wartość funkcji celu
0;5834
1;5583
2;5509
3;5322
4;5322
5;5322
6;5317
7;5316
8;5289
9;5289
10;5281
11;5281
12;5214
13;5117
14;5081
15;5075
16;5075
17;5075
18;5075
19;5075
20;5075
21;5075
22;5071
23;5071
24;5071
25;5040
26;5021
27;5021
28;5021
29;5021
30;5016
31;4967
32;4967
33;4967
34;4967
35;4949
36;4903
37;4903
38;4903
39;4903
40;4895
41;4895
42;4895
43;4895
44;4895
45;4891
46;4831
47;4831
48;4831
49;4831
50;4831
51;4816
52;4768
53;4768
54;4768
55;4740
57;4740
58;4740
59;4740
60;4740
