Czas w sekundach;Wartość funkcji celu
0;5857
1;5484
2;5374
3;5374
4;5374
5;5374
6;5374
7;5374
8;5374
9;5374
10;5374
11;5374
12;5374
13;5374
14;5374
15;5374
16;5374
17;5374
18;5374
19;5374
20;5374
21;5374
22;5359
23;5359
24;5359
25;5359
26;5359
27;5359
28;5359
29;5359
30;5359
31;5359
32;5359
33;5359
34;5352
35;5352
36;5352
37;5352
38;5352
39;5352
40;5352
41;5352
42;5352
43;5352
44;5352
45;5352
46;5352
47;5352
48;5352
49;5352
50;5352
51;5352
52;5352
53;5352
55;5352
56;5352
57;5352
58;5352
59;5352
60;5352
