Czas w sekundach;Wartość funkcji celu
0;5821
1;5487
2;5487
3;5487
4;5487
5;5417
6;5417
7;5417
8;5417
9;5417
10;5417
11;5417
12;5417
13;5417
14;5417
15;5417
16;5417
17;5417
18;5417
19;5417
20;5417
21;5417
22;5417
23;5417
24;5417
25;5417
26;5417
27;5417
28;5417
29;5417
30;5417
31;5417
32;5417
33;5417
34;5417
35;5417
36;5417
37;5417
38;5400
39;5400
40;5400
41;5400
42;5400
43;5400
44;5400
45;5400
46;5400
48;5400
49;5400
50;5400
51;5400
52;5400
53;5400
54;5400
55;5400
56;5400
57;5400
58;5400
59;5400
60;5400
