Czas w sekundach;Wartość funkcji celu
0;5826
1;5608
2;5608
3;5608
4;5608
5;5608
6;5608
7;5608
8;5608
9;5608
10;5608
11;5608
12;5608
13;5608
14;5608
15;5608
16;5608
17;5608
18;5608
19;5608
20;5608
21;5608
22;5608
23;5608
24;5608
25;5608
26;5608
27;5608
28;5608
29;5608
30;5608
31;5608
32;5608
33;5608
34;5608
35;5608
36;5608
37;5608
38;5608
39;5608
40;5608
41;5608
42;5608
43;5608
44;5608
45;5608
46;5608
47;5608
48;5608
49;5608
50;5608
51;5608
52;5608
53;5608
54;5608
55;5608
56;5608
57;5608
58;5608
59;5608
60;5608
