Czas w sekundach;Wartość funkcji celu
0;5828
1;5531
2;5531
3;5531
4;5531
5;5462
6;5462
7;5462
8;5462
9;5462
10;5454
11;5433
12;5433
13;5433
14;5433
15;5433
16;5409
17;5409
18;5409
19;5409
20;5393
21;5393
22;5393
23;5393
24;5393
25;5393
26;5393
27;5393
28;5393
29;5393
30;5393
31;5393
32;5393
33;5393
34;5393
35;5393
36;5393
37;5393
38;5393
39;5393
40;5294
41;5294
42;5294
43;5243
44;5203
45;5203
46;5203
48;5203
49;5203
50;5203
51;5203
52;5203
53;5203
54;5203
55;5203
56;5203
57;5203
58;5203
59;5203
60;5203
