Czas w sekundach;Wartość funkcji celu
0;5775
1;5579
2;5553
3;5445
4;5445
5;5445
6;5445
7;5445
8;5445
9;5445
10;5445
11;5445
12;5398
13;5398
14;5398
15;5398
16;5398
17;5398
18;5398
19;5398
20;5398
21;5390
22;5390
23;5390
24;5390
25;5390
26;5390
27;5390
28;5390
29;5390
30;5390
31;5390
32;5390
33;5390
34;5390
35;5390
36;5390
37;5390
38;5390
39;5390
40;5390
41;5390
42;5390
43;5390
44;5390
45;5390
47;5390
48;5390
49;5390
50;5390
51;5390
52;5390
53;5390
54;5390
55;5390
56;5390
57;5390
58;5390
59;5390
60;5390
