Czas w sekundach;Wartość funkcji celu
0;3990
1;3990
2;3990
3;3990
4;3990
5;3990
6;3990
7;3990
8;3990
9;3990
10;3990
11;3990
12;3990
13;3990
14;3990
15;3990
16;3990
17;3990
18;3990
19;3990
20;3990
21;3990
22;3990
23;3990
24;3990
25;3990
26;3990
27;3990
28;3990
29;3990
30;3990
31;3990
32;3990
33;3990
34;3990
35;3990
36;3990
37;3990
38;3990
39;3990
40;3990
41;3990
42;3990
43;3990
44;3990
45;3990
46;3990
47;3990
48;3990
49;3990
50;3990
51;3990
52;3990
53;3990
54;3990
55;3990
56;3990
57;3990
59;3990
60;3990
60;3990
