Czas w sekundach;Wartość funkcji celu
0;44402
1;14597
2;14597
3;14541
4;14541
5;14541
6;14541
7;14541
8;14541
9;14541
10;14541
11;14541
12;14541
13;14541
14;14541
15;14541
16;14541
17;14534
18;14534
19;14534
20;14534
21;14534
22;14534
23;14534
24;14534
25;14534
26;14534
27;14534
28;14534
29;14534
30;14534
31;14534
32;14534
33;14534
34;14534
35;14534
36;14534
37;14534
38;14534
39;14534
40;14534
41;14534
42;14534
43;14534
44;14534
45;14534
46;14534
47;14534
48;14534
49;14534
50;14534
51;14534
52;14534
53;14534
54;14534
55;14534
56;14534
57;14534
58;14534
59;14534
60;14534
