Czas w sekundach;Wartość funkcji celu
0;43401
1;15220
2;15068
3;14969
4;14766
5;14766
6;14723
7;14723
8;14723
9;14723
10;14723
11;14723
12;14723
13;14723
14;14659
15;14659
16;14659
17;14659
18;14659
19;14659
20;14659
21;14659
22;14659
23;14659
24;14659
25;14659
26;14659
27;14659
28;14659
29;14659
30;14659
31;14659
32;14659
33;14659
34;14659
35;14659
36;14659
37;14659
38;14659
39;14659
40;14659
41;14659
42;14659
43;14659
44;14659
45;14659
46;14659
47;14659
48;14659
49;14659
50;14659
51;14659
52;14659
53;14659
54;14659
55;14659
56;14659
57;14659
58;14659
59;14659
60;14659
