Czas w sekundach;Wartość funkcji celu
0;41442
1;34394
2;34394
3;34394
4;34394
5;33248
6;33248
7;33248
8;32339
9;32339
10;32339
11;32339
12;32339
13;32339
14;32339
15;32339
16;32339
17;30849
18;30849
19;30849
20;30849
21;30849
22;30849
23;30849
24;30849
25;30849
26;30849
27;30849
28;30849
29;30849
30;30849
31;30849
32;30849
33;30849
34;30849
35;30849
36;30849
37;30849
38;30849
39;30849
40;30849
41;30849
42;30849
43;30849
44;30849
45;30849
46;30849
47;30849
48;30849
49;30849
50;30849
51;30849
52;30849
53;30849
54;30849
55;30849
56;30849
57;30849
58;30849
59;30849
60;30849
