Czas w sekundach;Wartość funkcji celu
0;43949
1;15296
2;15296
3;15296
4;15296
5;15296
6;15296
7;15296
8;15296
9;15296
10;15296
11;15296
12;15296
13;15296
14;15296
15;15296
16;15296
17;15296
18;15296
19;15296
20;15296
21;15296
22;15296
23;15296
24;15296
25;15296
26;15296
27;15296
28;15296
29;15296
30;15296
31;15296
32;15296
33;15296
34;15296
35;15296
36;15296
37;15296
38;15296
39;15296
40;15296
41;15296
42;15296
43;15296
44;15296
45;15296
46;15296
47;15296
48;15296
49;15296
50;15296
51;15296
52;15296
53;15296
54;15296
55;15296
56;15296
57;15296
58;15296
59;15296
60;15296
