Czas w sekundach;Wartość funkcji celu
0;26938
1;26938
2;26938
3;26938
4;26938
5;26938
6;26938
7;26938
8;26938
9;26938
10;26938
11;26938
12;26938
13;26938
14;26938
15;26938
16;26938
17;26938
18;26938
19;26938
20;26938
21;26938
22;26938
23;26938
24;26938
25;26938
26;26938
27;26938
28;26938
29;26938
30;26938
31;26938
32;26938
33;26938
34;26938
35;26938
36;26938
37;26938
38;26938
39;26938
40;26938
41;26938
42;26938
43;26938
44;26938
45;26938
46;26938
47;26938
48;26938
49;26938
50;26938
51;26938
52;26938
53;26938
54;26938
55;26938
56;26938
57;26938
58;26938
59;26938
60;26938
