Czas w sekundach;Wartość funkcji celu
0;27421
1;26826
2;26826
3;26826
4;26826
5;26826
6;26826
7;26826
8;26826
9;26826
10;26826
11;26826
12;26826
13;26826
14;26826
15;26826
16;26826
17;26826
18;26826
19;26826
20;26826
21;26826
22;26826
23;26826
24;26826
25;26826
26;26826
27;26826
28;26826
29;26826
30;26826
31;26826
32;26826
33;26826
34;26826
35;26826
36;26826
37;26826
38;26826
39;26826
40;26826
41;26826
42;26826
43;26826
44;26826
45;26826
46;26826
47;26826
48;26826
49;26826
50;26826
51;26826
52;26826
53;26826
54;26826
55;26826
56;26826
57;26826
58;26826
59;26826
60;26826
