Czas w sekundach;Wartość funkcji celu
0;43597
1;30655
2;29571
3;24454
4;23963
5;21306
6;20568
7;20568
8;19389
9;18799
10;18799
11;18799
12;18799
13;18799
14;18799
15;18427
16;18427
17;18427
18;18427
19;18427
20;18427
21;18278
22;18278
23;18278
24;18278
25;18278
26;18278
27;18278
28;18278
29;18278
30;18278
31;18278
32;18278
33;18278
34;18278
35;18041
36;18041
37;18041
38;18041
39;18041
40;18041
41;18041
42;18041
43;18041
44;18041
45;18041
46;18041
47;18041
48;18041
49;18041
50;18041
51;18041
52;18041
53;18041
54;18041
55;18041
56;18041
57;18041
58;18041
59;18041
60;18041
