Czas w sekundach;Wartość funkcji celu
0;44691
1;24484
2;24339
3;24339
4;24103
5;23471
6;23400
7;23400
8;23400
9;23400
10;23400
11;23400
12;23400
13;21868
14;21868
15;21868
16;21868
17;21868
18;21868
19;21868
20;21868
21;21868
22;21868
23;21868
24;21868
25;21868
26;21868
27;21620
28;21620
29;21620
30;21620
31;21620
32;21620
33;21620
34;21620
35;21620
36;21620
37;21620
38;21620
39;21620
40;21620
41;21620
42;21620
43;21620
44;21620
45;21620
46;21620
47;21620
48;21620
49;21620
50;21620
51;21620
52;21620
53;21620
54;21620
55;21620
56;21620
57;21620
58;21620
59;21620
60;21620
